Nombre del Set,Codigo_Espanol,Codigo_Ingles,Tipo
Baraja de Inicio Yugi,BIY-S,SDY,Baraja de Inicio
Baraja de Inicio Kaiba,BIK-S,SDK,Baraja de Inicio
Baraja de Inicio Joey,BIJ-S,SDJ,Baraja de Inicio
Baraja de Inicio Pegasus,BIP-S,SDP,Baraja de Inicio
Leyenda del Dragón Blanco de Ojos Azules,LDD-S,LOB,Sobre de Expansión
Predadores Metálicos,PMT-S,MRD,Sobre de Expansión
Señor de Hechizos,SDH-S,MRL/SRL,Sobre de Expansión
Servidor del Faraón,SDF-S,PSV,Sobre de Expansión
Labyrinth of Nightmare,LON-S,LON,Sobre de Expansión
Legacy of Darkness,LOD-S,LOD,Sobre de Expansión
Sobre La Saga del Duelista,DUSA-SP,DUSA,Colecciones
